,edge,sparcc.corr,sparcc.ppvals,from,to
57,Otu000002_to_Otu000006,-0.420169485861547,0,Otu000002,Otu000006
63,Otu000002_to_Otu000016,0.506662410914322,0.028,Otu000002,Otu000016
64,Otu000002_to_Otu000017,-0.437746175509035,0.002,Otu000002,Otu000017
66,Otu000002_to_Otu000019,0.444569714967048,0,Otu000002,Otu000019
68,Otu000002_to_Otu000025,0.357102153745464,0,Otu000002,Otu000025
195,Otu000005_to_Otu000104,-0.337017403119158,0.00800000000000001,Otu000005,Otu000104
453,Otu000014_to_Otu000018,0.366490778411386,0.036,Otu000014,Otu000018
524,Otu000016_to_Otu000104,0.309472081088686,0.044,Otu000016,Otu000104
