edge,from,to,spieceasi.weight,Pcr,Ppval,sparcc.corr,sparcc.ppvals,union.corr
Otu000001_to_Otu000002,Otu000001,Otu000002,-0.205516218992615,-0.568018951034293,1.66400128413375e-05,-0.615562609125497,0,-0.463032593050802
Otu000002_to_Otu000003,Otu000002,Otu000003,-0.046850856588697,-0.59159988648141,1.18431433718013e-05,NA,NA,-0.319225371535054
Otu000002_to_Otu000556,Otu000002,Otu000556,0.362466506536265,0.572705724596089,1.66400128413375e-05,NA,NA,0.467586115566177
Otu000001_to_Otu000003,Otu000001,Otu000003,0.323902534013918,NA,NA,0.744201403474601,0,0.53405196874426
